UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 ,INSTNM,IALIAS,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,DUNS,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,VETURL,ATHURL,DISAURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,INSTCAT,C21BASIC,C21IPUG,C21IPGRD,C21UGPRF,C21ENPRF,C21SZSET,C18BASIC,C15BASIC,CCBASIC,CARNEGIE,LANDGRNT,INSTSIZE,F1SYSTYP,F1SYSNAM,F1SYSCOD,CBSA,CBSATYPE,CSA,NECTA,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID,DFRCUSCG
101587,2,3,1,2,3,3,1,1,3,R,1539,R,558.0,R,981.0,R,1144.0,R,421.0,R,723.0,R,351.0,R,148.0,R,203.0,R,350.0,R,148.0,R,202.0,R,1.0,R,0.0,R,1.0,R,7.0,R,2.0,R,241.0,R,69.0,R,430.0,R,470.0,R,450.0,R,510.0,R,17.0,R,21.0,R,16.0,R,22.0,R,16.0,R,19.0,University of West Alabama,UWA,Station One,Livingston,AL,35470,1,5,Dr. Ken Tucker,President,2056523400,636001100,968832394,102400,1,www.uwa.edu/,www.uwa.edu/Admissions/,https://www.uwa.edu/admissions/undergraduate/financialaid,https://www.uwa.edu/apply,secure.uwa.edu/calculator/, ,https://catalog.uwa.edu/content.php?catoid=35&navoid=1581&hl=Student+Right+to+Know&returnto=search,https://www.uwa.edu/americandisabilityact,1,1,1,9,1,1,12,1,2,2,2,2,43,1,A ,-2,-2,-2,1,1,1,1,1,2,18,13,4,7,6,13,18,18,18,21,2,3,2,-2,-2,-2,-2,-2,-2,1119,Sumter County,107,-88.186329,32.588132,109,1
101648,1,3,1,5,3,3,1,1,3,R,904,R,480.0,R,424.0,R,410.0,R,293.0,R,117.0,R,181.0,R,134.0,R,47.0,R,181.0,R,134.0,R,47.0,A,,A,,A,,R,74.0,R,41.0,R,131.0,R,72.0,R,560.0,R,650.0,R,540.0,R,650.0,R,18.0,R,26.0,R,17.0,R,26.0,R,18.0,R,25.0,Marion Military Institute, ,1101 Washington St,Marion,AL,36756-3207,1,5,Col David J. Mollahan,President,8006641842,630288853,072092182,102600,1,www.marionmilitary.edu/,www.marionmilitary.edu/admissions/,marionmilitary.edu/admissions/financial-aid/,ssb-prod.ec.accs.edu/PROD/MMI/bwskalog.P_DispLoginNon,marionmilitary.edu/calculator/,https://marionmilitary.edu/veterans-benefits/,marionmilitary.edu/about-mmi/consumer-info/,marionmilitary.edu/request-for-accomodations/,4,2,1,3,1,2,40,1,2,-2,2,2,43,1,A ,-2,-2,-2,1,1,1,1,1,4,1,1,0,4,1,1,1,1,1,40,2,1,1,Alabama Community College System,101030,-2,-2,-2,-2,1105,Perry County,107,-87.322041,32.623734,62,2
101709,1,2,1,2,3,3,5,1,3,R,4045,R,1224.0,R,2821.0,R,3644.0,R,1073.0,R,2571.0,R,493.0,R,180.0,R,313.0,R,478.0,R,177.0,R,301.0,R,15.0,R,3.0,R,12.0,R,29.0,R,6.0,R,321.0,R,68.0,R,500.0,R,590.0,R,470.0,R,610.0,R,19.0,R,26.0,R,19.0,R,28.0,R,17.0,R,24.0,University of Montevallo, ,Station 6001,Montevallo,AL,35115-6000,1,5,John W. Stewart III,President,2056656155,636000720, ,100400,1,www.montevallo.edu/,www.montevallo.edu/admissions/,https://www.montevallo.edu/admissions-aid/,https://www.montevallo.edu/admissions/,https://www.montevallo.edu/NetPriceCalculator/,www.montevallo.edu/about-um/administration/enrollment-and-student-affairs/veterans-affairs/,https://montevallofalcons.com/sports/2016/9/20/compliance.aspx,https://www.montevallo.edu/campus-life/student-services/disability-support-services/,1,1,1,8,1,1,20,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,2,19,13,6,11,3,11,19,19,19,21,2,2,2,-2,-2,13820,1,142,-2,1117,Shelby County,106,-86.865099,33.10625,118,2
102049,1,2,5,1,1,3,5,3,3,R,4217,R,1420.0,R,2797.0,R,3537.0,R,1156.0,R,2381.0,R,920.0,R,326.0,R,594.0,R,918.0,R,326.0,R,592.0,R,2.0,R,0.0,R,2.0,R,202.0,R,22.0,R,605.0,R,66.0,R,570.0,R,660.0,R,530.0,R,630.0,R,23.0,R,29.0,R,23.0,R,31.0,R,20.0,R,27.0,Samford University, ,800 Lakeshore Drive,Birmingham,AL,35229-2240,1,5,Dr. Beck Taylor,President,2057262011,630312914,075455410,103600,1,www.samford.edu/,www.samford.edu/admission,www.samford.edu/departments/financial-services/,www.samford.edu/admission/apply,https://www.samford.edu/admission/net-price-calculator,www.samford.edu/departments/financial-services/veterans,www.samford.edu/athletics/,www.samford.edu/departments/disability-resources/,2,1,2,9,1,1,11,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,2,17,16,12,12,5,14,17,18,19,21,2,3,2,-2,-2,13820,1,142,-2,1073,Jefferson County,106,-86.791799,33.464128,101,1
102094,1,3,1,3,3,3,1,1,3,R,11817,R,4223.0,R,7594.0,R,8364.0,R,2911.0,R,5453.0,R,1778.0,R,669.0,R,1109.0,R,1751.0,R,656.0,R,1095.0,R,27.0,R,13.0,R,14.0,R,130.0,R,7.0,R,1537.0,R,86.0,R,500.0,R,610.0,R,485.0,R,605.0,R,19.0,R,26.0,R,19.0,R,27.0,R,17.0,R,25.0,University of South Alabama, ,307 N University Blvd,Mobile,AL,36688-0002,1,5,Jo Bonner,President,2514606101,630477348,172750234,105700,1,www.southalabama.edu/,www.southalabama.edu/departments/admissions/,www.southalabama.edu/departments/finaid/,www.southalabama.edu/departments/admissions/applytousa.html,www.southalabama.edu/departments/finaid/netpricecalculator/,www.southalabama.edu/departments/registrar/residency.html,usajaguars.com/documents/2021/8/4//2020_21_Federal_Graduation_Rate_Report.pdf?id=10304,www.southalabama.edu/departments/sds/,1,1,1,9,1,1,11,1,2,1,1,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,16,16,18,13,5,16,16,16,16,16,2,4,2,-2,-2,33660,1,380,-2,1097,Mobile County,101,-88.178711,30.696033,96,1
102234,1,3,1,2,5,3,5,1,3,R,2114,R,781.0,R,1333.0,R,1512.0,R,548.0,R,964.0,R,216.0,R,104.0,R,112.0,R,215.0,R,104.0,R,111.0,R,1.0,R,0.0,R,1.0,R,20.0,R,9.0,R,147.0,R,68.0,R,490.0,R,530.0,R,480.0,R,530.0,R,17.0,R,21.0,R,15.0,R,20.0,R,15.0,R,19.0,Spring Hill College,Springhill|Springhill College|SHC|the Hill,4000 Dauphin St,Mobile,AL,36608-1791,1,5,Joe Lee,President,2513804000,630302179,072627243,104100,1,https://www.shc.edu/,https://www.shc.edu/admissions-aid/admissions/,https://www.shc.edu/admissions-aid/tuition-financial-aid/,https://www.shc.edu/admissions-aid/admissions/apply/,https://www.shc.edu/admissions-aid/tuition-financial-aid/net-price-calculator/,https://www.shc.edu/admissions/tuition-and-aid/types-aid/military-and-veterans-benefits/,data.shc.edu/home/institutional-research,sites.google.com/a/shc.edu/casa/academic-support-services/disability-services,2,1,2,8,1,1,20,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,22,13,7,12,3,11,21,21,20,21,2,2,2,-2,-2,33660,1,380,-2,1097,Mobile County,101,-88.138199,30.694751,139,1
102368,1,3,1,2,3,3,1,1,2,R,6766,R,2405.0,R,4361.0,R,6446.0,R,2249.0,R,4197.0,R,1596.0,R,595.0,R,1001.0,R,1362.0,R,513.0,R,849.0,R,234.0,R,82.0,R,152.0,R,74.0,R,5.0,R,1118.0,R,70.0,R,485.0,R,580.0,R,450.0,R,570.0,R,17.0,R,25.0,R,17.0,R,25.0,R,16.0,R,23.0,Troy University,TROY,University Avenue,Troy,AL,36082-0001,1,5,"Dr. Jack Hawkins, Jr.",Chancellor,3346703100,636001102,072090939,104700,1,www.troy.edu/,www.troy.edu/applications-admissions/index.html,www.troy.edu/scholarships-costs-aid/financial-aid/index.html,www.troy.edu/applications-admissions/index.html,www.troy.edu/net-price-calculator/index.html,www.troy.edu/military-veterans/,www.troy.edu/about-us/offices-departments/institutional-research-planning-effectiveness/fact-site/graduation-reports.html,www.troy.edu/student-disability-services/index.html,1,1,1,9,1,1,11,1,2,2,2,2,33,1,A ,-2,-2,-2,1,1,1,1,1,2,18,13,13,7,4,15,18,18,18,21,2,4,2,-2,-2,45980,2,-2,-2,1109,Pike County,102,-85.957094,31.800672,106,1
102377,1,2,1,2,2,2,1,1,3,R,8597,R,2456.0,R,6141.0,R,2940.0,R,882.0,R,2058.0,R,551.0,R,194.0,R,357.0,R,545.0,R,194.0,R,351.0,R,6.0,R,0.0,R,6.0,R,83.0,R,15.0,R,227.0,R,41.0,R,470.0,R,580.0,R,450.0,R,550.0,R,18.0,R,25.0,R,17.0,R,25.0,R,16.0,R,23.0,Tuskegee University, ,"Kresge Center, 3rd Floor",Tuskegee,AL,36088-1920,1,5,Dr. Charlotte P. Morris,President,3347278011,630288878,128214178,105000,1,www.tuskegee.edu/,https://www.tuskegee.edu/admissions-aid,https://www.tuskegee.edu/admissions-aid,www.applyweb.com/apply/tusk/,npc.collegeboard.org/app/tuskegee?iframe=true, , ,https://www.tuskegee.edu/student-life/wellness-center-counseling,2,1,2,9,1,1,11,1,1,2,1,2,32,1,A ,-2,-2,-2,1,1,1,1,1,2,19,16,17,10,4,11,19,20,22,21,1,2,2,-2,-2,-2,-2,-2,-2,1087,Macon County,103,-85.708492,32.4309,119,1
102614,1,3,1,3,3,3,1,1,3,R,1402,R,636.0,R,766.0,R,907.0,R,426.0,R,481.0,R,678.0,R,314.0,R,364.0,R,538.0,R,277.0,R,261.0,R,140.0,R,37.0,R,103.0,R,83.0,R,12.0,R,110.0,R,16.0,R,560.0,R,680.0,R,550.0,R,680.0,R,17.0,R,27.0,R,15.0,R,26.0,R,16.0,R,25.0,University of Alaska Fairbanks,UAF,1731 South Chandalar Drive,Fairbanks,AK,99775,2,8,Daniel M. White,Chancellor,9074747034,926000147,615245164|040925104|099835092|040391364|010192599|029589546,106300,1,www.uaf.edu/,www.uaf.edu/admissions/,www.uaf.edu/finaid/,uaf.edu/admissions/apply/#now,uaf.edu/finaid/costs/net-price-calculator.php,www.uaf.edu/veterans/, ,www.uaf.edu/disability/,1,1,1,9,1,1,12,1,2,2,2,2,23,1,A ,-2,-2,-2,1,1,1,1,1,2,16,14,15,5,4,12,16,16,16,16,1,3,1,University of Alaska System of Higher Education,102010,21820,1,-2,-2,2090,Fairbanks North Star Borough,200,-147.823146,64.85756,97,1
104179,1,5,1,2,5,2,5,5,3,R,48065,R,20619.0,R,27446.0,R,41946.0,R,17626.0,R,24320.0,R,8436.0,R,3363.0,R,5073.0,R,5844.0,R,2354.0,R,3490.0,R,2592.0,R,1009.0,R,1583.0,R,1059.0,R,13.0,R,1572.0,R,19.0,R,560.0,R,680.0,R,560.0,R,690.0,R,21.0,R,29.0,R,20.0,R,29.0,R,20.0,R,28.0,University of Arizona,The University of Arizona | UArizona | U of A | UofA | UA | University of AZ | Univ. of AZ | The Univ. of AZ,1401 E University,Tucson,AZ,85721-0066,4,6,Dr. Robert C. Robbins,President,5206212211,866004791,806345617,108300,1,https://www.arizona.edu/,https://www.arizona.edu/admissions,https://financialaid.arizona.edu/,https://slate.admissions.arizona.edu/apply,https://arizona.studentaidcalculator.com/survey.aspx,https://registrar.arizona.edu/support-services/military-connected-benefits-certifications-mcbc,https://arizonawildcats.com/documents/2021/3/10/University_of_Arizona_GSR_Report.pdf?id=26908,https://drc.arizona.edu/students,1,1,1,9,1,1,11,1,2,2,1,2,11,1,A ,-2,-2,-2,1,1,1,1,1,2,15,14,14,13,4,15,15,15,15,15,1,5,1,Arizona Board of Regents,104010,46060,1,536,-2,4019,Pima County,403,-110.950815,32.232672,91,1
104586,5,5,1,1,5,3,5,1,3,R,3659,R,2512.0,R,1147.0,R,2699.0,R,1872.0,R,827.0,R,749.0,R,535.0,R,214.0,R,744.0,R,531.0,R,213.0,R,5.0,R,4.0,R,1.0,R,226.0,R,30.0,R,197.0,R,26.0,R,570.0,R,660.0,R,570.0,R,690.0,R,22.0,R,29.0,R,21.0,R,30.0,R,23.0,R,29.0,Embry-Riddle Aeronautical University-Prescott,Embry Riddle Aeronautical University-Prescott,3700 Willow Creek Road,Prescott,AZ,86301-3720,4,6,"P. Barry Butler, Ph.D.",President,9287776600,590936101,052104791,147902,1,prescott.erau.edu/,prescott.erau.edu/admissions,prescott.erau.edu/financial-aid,prescott.erau.edu/admissions/apply,prescott.erau.edu/financial-aid/net-price-calculator,https://prescott.erau.edu/veterans-resources,prescott.erau.edu/-/media/files/prescott/financial-aid/student-right-to-know-act.pdf,prescott.erau.edu/about/disability-support,2,1,2,7,1,1,20,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1,2,22,16,8,12,3,10,22,22,22,-2,2,2,1,Embry-Riddle Aeronautical University Inc.,200554,39150,1,-2,-2,4025,Yavapai County,404,-112.449741,34.616766,138,1
